author_date;author_name;committer_date;committer_name;dmm_unit_complexity;complexity
2019-05-29 03:17:32+00:00;Sangdoo Yun;2019-05-29 03:17:32+00:00;Sangdoo Yun;0.557510148849797;12.5
2019-07-09 13:26:29+09:00;Sangdoo Yun;2019-07-09 13:26:29+09:00;GitHub;;0.0
2019-07-25 08:21:14+09:00;Sangdoo Yun;2019-07-25 08:21:14+09:00;GitHub;;0.0
2019-07-25 08:43:23+09:00;Sangdoo Yun;2019-07-25 08:43:23+09:00;GitHub;;0.0
2019-07-31 15:16:06+09:00;Sangdoo Yun;2019-07-31 15:16:06+09:00;GitHub;;0.0
2019-08-02 17:39:43+09:00;Sangdoo Yun;2019-08-02 17:39:43+09:00;GitHub;0.0;38.0
2019-08-20 00:48:28+09:00;Sangdoo Yun;2019-08-20 00:48:28+09:00;GitHub;;0.0
2020-01-03 01:56:36+00:00;sangdoo.yun;2020-01-03 01:56:36+00:00;sangdoo.yun;0.5555555555555556;29.0
2020-08-14 10:42:55+09:00;Sangdoo Yun;2020-08-14 10:42:55+09:00;GitHub;;0.0
2020-09-16 12:46:34+09:00;Sangdoo Yun;2020-09-16 12:46:34+09:00;GitHub;;0.0
2020-09-16 12:47:44+09:00;Sangdoo Yun;2020-09-16 12:47:44+09:00;GitHub;;0.0
