project_name;author_date;author_name;committer_date;committer_name;dmm_unit_complexity;complexity;num_files;repository_category
Densenet-Tensorflow;2017-08-07 11:44:26+09:00;Junho Kim (1993.01.12);2017-08-07 11:44:26+09:00;Junho Kim (1993.01.12);;0.0;3;100_a_500
Densenet-Tensorflow;2017-08-07 11:44:59+09:00;Junho Kim (1993.01.12);2017-08-07 11:44:59+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-07 11:46:03+09:00;Junho Kim (1993.01.12);2017-08-07 11:46:03+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-07 11:47:44+09:00;Junho Kim;2017-08-07 11:47:44+09:00;Junho Kim;1.0;8.0;1;100_a_500
Densenet-Tensorflow;2017-08-07 11:49:57+09:00;Junho Kim;2017-08-07 11:49:57+09:00;Junho Kim;0.0;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-07 11:50:21+09:00;Junho Kim;2017-08-07 11:50:21+09:00;Junho Kim;1.0;8.0;1;100_a_500
Densenet-Tensorflow;2017-08-07 18:37:38+09:00;JunhoKim;2017-08-07 18:37:38+09:00;JunhoKim;;8.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 14:03:38+09:00;Junho Kim;2017-08-08 14:03:38+09:00;Junho Kim;1.0;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 14:07:16+09:00;Junho Kim;2017-08-08 14:07:16+09:00;Junho Kim;;0.0;0;100_a_500
Densenet-Tensorflow;2017-08-08 14:07:52+09:00;Junho Kim;2017-08-08 14:07:52+09:00;Junho Kim;1.0;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 14:08:47+09:00;Junho Kim;2017-08-08 14:08:47+09:00;Junho Kim;;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 14:10:37+09:00;Junho Kim;2017-08-08 14:10:37+09:00;Junho Kim;;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 15:38:01+09:00;Junho Kim;2017-08-08 15:38:01+09:00;Junho Kim;;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 17:31:25+09:00;Junho Kim;2017-08-08 17:31:25+09:00;Junho Kim;0.0;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 17:35:46+09:00;Junho Kim;2017-08-08 17:35:46+09:00;Junho Kim;;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 18:24:39+09:00;Junho Kim;2017-08-08 18:24:39+09:00;Junho Kim;;0.0;2;100_a_500
Densenet-Tensorflow;2017-08-08 18:25:01+09:00;Junho Kim;2017-08-08 18:25:01+09:00;Junho Kim;1.0;7.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 18:43:57+09:00;Junho Kim (1993.01.12);2017-08-08 18:43:57+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 18:47:29+09:00;Junho Kim (1993.01.12);2017-08-08 18:47:29+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 18:49:45+09:00;Junho Kim (1993.01.12);2017-08-08 18:49:45+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 19:01:54+09:00;Junho Kim (1993.01.12);2017-08-08 19:01:54+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 19:21:42+09:00;Junho Kim (1993.01.12);2017-08-08 19:21:42+09:00;GitHub;;0.0;1;100_a_500
Densenet-Tensorflow;2017-08-08 20:44:59+09:00;Junho Kim;2017-08-08 20:44:59+09:00;Junho Kim;;7.0;2;100_a_500
Densenet-Tensorflow;2017-08-08 20:45:17+09:00;Junho Kim;2017-08-08 20:45:17+09:00;Junho Kim;;0.0;0;100_a_500
